OBJECTID,CAMERA_NO,Precinct,Location,LocalityPrecinct
215,207,Circular Quay,Pitt St x Alfred St,Circular Quay
216,206,Circular Quay,George St x Alfred St,Circular Quay
217,209,Circular Quay,Alfred St x Phillip St,Circular Quay
218,203,Circular Quay,George St x Argyle St,The Rocks
219,202,Circular Quay,George St x Hickson Rd,The Rocks
220,204,Circular Quay,Nurses walk,The Rocks
221,201,Circular Quay,Campbell Cove,The Rocks
222,210,Transport centre,George St x Hunter St,George Street
223,212,Entertainment,King St x George St,George Street
224,211,Entertainment,King St x York St,George Street
225,214,Commercial,Market St x George St,George Street
226,213,Commercial,King St x Pitt St,Pitt Street Mall
227,220,Entertainment,Pitt St x Park St,Town Hall Precinct
228,221,Parkland,Park St – Hyde Pk South,Hyde Park South
229,218,Sydney Town Hall,Sydney Square – top,Sydney Square - STH
230,219,Sydney Town Hall,Sydney Square – bottom,Sydney Square - STH
231,222,Parkland,College St x William St,Cook and Phillip Park
232,224,Parkland,St Mary’s Rd x Cathedral St,Cook and Phillip Park
233,223,Parkland,Cathedral St,Cook and Phillip Park
234,226,Parkland,Woolloomooloo Walk,Cook and Phillip Park
235,225,Parkland,Boomerang Walk (Yurong Parkway),Cook and Phillip Park
236,228,Parkland,Anzac Memorial - south,Hyde Park South
237,227,Parkland,Hyde Park Pool of Reflection,Hyde Park South
238,229,Parkland,Museum Station,Hyde Park South
239,231,Entertainment,George St x Wilmot St,George Street Cinema
240,232,Entertainment,Kent St x Albion Ln,George Street Cinema
241,233,Entertainment,George St opp Central St,George Street Cinema
242,230,Entertainment,George St x Bathurst St,George Street Cinema
243,234,Entertainment,George St x Liverpool St,George Street Cinema
244,236,Chinatown,Sussex St x Goulburn St,Haymarket
245,235,Chinatown,Dixon St x Factory St,Haymarket
246,246,Transport centre,Eddy Ave – Belmore Park South,Belmore Park
247,245,Parkland,Belmore Park - centre,Belmore Park
248,244,Parkland,Pitt St x Hay St,Belmore Park
249,243,Chinatown,George St x Hay St,George Street
250,239,Chinatown,Harbour St x Little Hay St,Haymarket
251,241,Chinatown,Dixon St x Hay St,Haymarket
252,242,Chinatown,Ultimo Rd x Thomas St,Haymarket
253,240,Chinatown,Dixon St x Little Hay St,Haymarket
254,238,Commercial,George St x Campbell St,George Street
